SPORTS_CEN,Latitude,Longitude
Clementi Stadium,1.31054736358854,103.762831357532
Clementi Sports Centre,1.31137729496485,103.764384219114
Jurong West Sports Centre,1.33893979108182,103.693702605961
Kallang Basin Swimming Complex,1.32325195762473,103.872252956458
Kallang Sports Centre,1.30680410822256,103.877357239552
Katong Swimming Complex,1.30223475636127,103.885917296542
AMK Swimming Complex,1.36240591106072,103.850044420756
Bishan Sports Centre,1.35549795781487,103.851865316168
Bukit Batok Swimming Complex,1.3449742165657,103.747781014088
Farrer Park Field and Tennis Centre,1.30957995820846,103.850338873065
Jalan Besar Sports Centre,1.31068958851184,103.859668996456
Jurong East Sports Centre,1.34586414829953,103.729138907193
Heartbeat@Bedok,1.32722499734466,103.931147265025
Hougang Sports Centre,1.3698443789415,103.886186285942
Bukit Gombak Sports Centre,1.35968730286159,103.751882635276
Bedok Stadium,1.3266435360719,103.936351191135
Burghley Squash and Tennis Centre,1.35925932367945,103.860926082782
Choa Chu Kang Sports Centre,1.39035615823275,103.74745156842
Jurong Stadium,1.3340808063381,103.718512212638
Our Tampines Hub - Community Auditorium,1.35436736684635,103.94077231704
Pasir Ris Sports Centre,1.37448512294275,103.952424537943
Queenstown Sports Centre,1.29703118433011,103.8021979086
Sengkang Sports Centre,1.39628632762323,103.887535237702
Serangoon Sports Centre,1.35779894733763,103.874819675218
Toa Payoh Sports Centre,1.33114710936452,103.852261295317
Woodlands Sports Centre,1.4357545025108,103.78097604595
St Wilfrid Sports Centre,1.32605591303018,103.862154974899
Yio Chu Kang Sports Centre,1.38339562811452,103.84538692395
Yishun Sports Centre,1.41375104904808,103.832038418267
Yishun Swimming Complex,1.42411707461287,103.834053811006
Co Curricular Activities Branch,1.32129929136485,103.820163508503
Delta Sports Centre,1.29088508668353,103.820350965163
Enabling Village Gym,1.2876679644099,103.814843176229
Geylang East Swimming Complex,1.32148423019096,103.888148340047
Geylang Field,1.31093087343346,103.87761161695
